freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.603e+01,6.668e+02,4.331e+01,7.261e+02
1.3,3.205e+01,5.553e+02,5.139e+01,6.387e+02
2.7,4.219e+01,2.934e+02,4.270e+01,3.783e+02
4.0,1.242e+02,4.398e+02,3.858e+01,6.026e+02
5.3,4.353e+02,1.019e+03,4.536e+01,1.499e+03
6.6,6.450e+02,1.583e+03,5.135e+01,2.279e+03
8.0,7.397e+02,2.314e+03,4.916e+01,3.103e+03
9.3,6.896e+02,3.376e+03,4.891e+01,4.115e+03
10.6,5.129e+02,5.436e+03,5.437e+01,6.003e+03
11.9,7.156e+02,5.394e+03,5.822e+01,6.168e+03
13.3,9.785e+02,4.763e+03,4.921e+01,5.791e+03
14.6,1.388e+03,6.375e+03,5.066e+01,7.813e+03
15.9,1.232e+03,7.192e+03,5.482e+01,8.478e+03
17.2,5.719e+02,8.358e+03,5.729e+01,8.988e+03
18.6,4.123e+02,1.072e+04,5.405e+01,1.118e+04
19.9,4.767e+02,1.389e+04,6.903e+01,1.443e+04
21.2,5.086e+02,1.723e+04,1.036e+02,1.784e+04
22.6,5.171e+02,1.950e+04,1.024e+02,2.012e+04
23.9,7.116e+02,2.755e+04,9.944e+01,2.836e+04
25.2,7.953e+02,3.458e+04,1.040e+02,3.548e+04
26.5,8.847e+02,4.276e+04,1.599e+02,4.380e+04
27.9,8.851e+02,5.048e+04,1.932e+02,5.156e+04
29.2,9.144e+02,6.941e+04,2.662e+02,7.059e+04
30.5,8.416e+02,9.457e+04,4.640e+02,9.588e+04
31.8,9.905e+02,1.274e+05,5.809e+02,1.289e+05
33.2,1.245e+03,1.651e+05,7.943e+02,1.672e+05
34.5,1.177e+03,2.027e+05,1.143e+03,2.050e+05
35.8,1.406e+03,3.267e+05,3.838e+03,3.320e+05
37.1,1.812e+03,6.462e+05,1.205e+04,6.601e+05
38.5,3.036e+03,1.628e+06,4.501e+04,1.676e+06
39.8,5.784e+03,2.326e+06,1.101e+05,2.442e+06
41.1,5.803e+03,2.046e+06,1.628e+05,2.214e+06
42.5,1.099e+04,1.562e+06,2.274e+05,1.801e+06
43.8,3.325e+04,1.665e+06,2.865e+05,1.984e+06
45.1,6.538e+04,1.626e+06,2.081e+05,1.900e+06
46.4,8.131e+04,1.386e+06,1.390e+05,1.607e+06
47.8,6.166e+04,1.008e+06,8.715e+04,1.157e+06
49.1,3.278e+04,6.728e+05,5.071e+04,7.563e+05
50.4,1.726e+04,5.976e+05,2.628e+04,6.412e+05
51.7,8.328e+03,4.323e+05,7.635e+03,4.482e+05
53.1,4.202e+03,3.243e+05,1.307e+03,3.299e+05
54.4,1.614e+03,2.659e+05,9.747e+02,2.685e+05
55.7,5.125e+02,1.965e+05,1.526e+03,1.986e+05
57.1,5.053e+02,1.529e+05,2.941e+03,1.563e+05
58.4,6.666e+02,1.283e+05,4.545e+03,1.335e+05
59.7,6.107e+02,1.213e+05,5.357e+03,1.273e+05
61.0,4.211e+02,1.240e+05,4.882e+03,1.293e+05
62.4,3.002e+02,1.069e+05,3.505e+03,1.107e+05
63.7,2.533e+02,1.070e+05,2.699e+03,1.100e+05
65.0,1.643e+02,1.078e+05,2.131e+03,1.101e+05
66.3,1.110e+02,7.963e+04,1.299e+03,8.104e+04
67.7,1.116e+02,7.780e+04,1.057e+03,7.897e+04
69.0,1.170e+02,7.735e+04,8.945e+02,7.836e+04
70.3,1.840e+02,7.676e+04,7.538e+02,7.769e+04
71.6,2.790e+02,6.871e+04,6.535e+02,6.964e+04
73.0,4.088e+02,6.115e+04,5.585e+02,6.212e+04
74.3,4.234e+02,5.101e+04,4.207e+02,5.185e+04
75.6,4.206e+02,4.081e+04,3.517e+02,4.158e+04
