freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.579e+01,6.275e+02,3.995e+01,6.833e+02
1.3,2.300e+01,4.513e+02,3.694e+01,5.112e+02
2.7,2.926e+01,9.436e+01,3.681e+01,1.604e+02
4.0,1.170e+02,2.411e+02,3.851e+01,3.966e+02
5.3,4.180e+02,7.775e+02,3.665e+01,1.232e+03
6.7,6.113e+02,1.325e+03,3.480e+01,1.971e+03
8.0,6.760e+02,1.981e+03,4.049e+01,2.697e+03
9.4,6.975e+02,2.982e+03,5.086e+01,3.730e+03
10.7,7.876e+02,4.576e+03,5.400e+01,5.418e+03
12.0,4.920e+02,4.140e+03,5.067e+01,4.682e+03
13.4,2.235e+02,3.566e+03,4.924e+01,3.838e+03
14.7,3.321e+02,4.843e+03,5.771e+01,5.233e+03
16.0,4.344e+02,6.068e+03,5.762e+01,6.560e+03
17.4,4.384e+02,7.262e+03,5.170e+01,7.752e+03
18.7,4.411e+02,9.317e+03,5.476e+01,9.813e+03
20.0,4.375e+02,1.171e+04,6.892e+01,1.221e+04
21.4,5.201e+02,1.400e+04,1.236e+02,1.464e+04
22.7,6.223e+02,1.752e+04,1.489e+02,1.829e+04
24.1,7.257e+02,2.267e+04,1.628e+02,2.356e+04
25.4,7.479e+02,2.895e+04,1.819e+02,2.988e+04
26.7,7.885e+02,3.612e+04,2.344e+02,3.715e+04
28.1,8.386e+02,4.619e+04,3.406e+02,4.737e+04
29.4,8.103e+02,5.959e+04,4.880e+02,6.089e+04
30.7,8.402e+02,8.079e+04,8.154e+02,8.244e+04
32.1,1.007e+03,1.115e+05,9.686e+02,1.135e+05
33.4,1.050e+03,1.414e+05,1.306e+03,1.438e+05
34.7,1.152e+03,1.797e+05,1.803e+03,1.827e+05
36.1,1.389e+03,2.917e+05,4.824e+03,2.979e+05
37.4,1.380e+03,5.505e+05,1.254e+04,5.645e+05
38.8,1.556e+03,1.400e+06,4.361e+04,1.445e+06
40.1,2.920e+03,2.167e+06,1.100e+05,2.280e+06
41.4,6.770e+03,2.014e+06,1.606e+05,2.181e+06
42.8,1.782e+04,1.577e+06,2.264e+05,1.821e+06
44.1,4.007e+04,1.513e+06,2.612e+05,1.814e+06
45.4,5.283e+04,1.427e+06,1.905e+05,1.670e+06
46.8,7.204e+04,1.453e+06,1.439e+05,1.669e+06
48.1,4.574e+04,9.829e+05,8.114e+04,1.110e+06
49.4,2.899e+04,7.144e+05,5.204e+04,7.955e+05
50.8,2.020e+04,6.245e+05,2.743e+04,6.721e+05
52.1,1.072e+04,4.329e+05,7.110e+03,4.507e+05
53.5,6.368e+03,3.554e+05,1.297e+03,3.630e+05
54.8,3.496e+03,2.508e+05,8.377e+02,2.552e+05
56.1,3.697e+03,2.051e+05,1.529e+03,2.103e+05
57.5,4.288e+03,1.671e+05,2.597e+03,1.740e+05
58.8,2.807e+03,1.474e+05,3.612e+03,1.538e+05
60.1,9.143e+02,1.390e+05,4.040e+03,1.440e+05
61.5,2.831e+02,1.464e+05,4.031e+03,1.507e+05
62.8,1.438e+02,1.381e+05,3.398e+03,1.417e+05
64.1,1.544e+02,1.059e+05,2.349e+03,1.084e+05
65.5,2.197e+02,1.088e+05,2.146e+03,1.111e+05
66.8,2.337e+02,1.031e+05,1.774e+03,1.051e+05
68.2,2.266e+02,9.169e+04,1.476e+03,9.340e+04
69.5,2.261e+02,7.935e+04,1.303e+03,8.088e+04
70.8,2.213e+02,7.406e+04,1.260e+03,7.554e+04
72.2,2.351e+02,6.431e+04,1.079e+03,6.562e+04
73.5,4.203e+02,6.649e+04,1.070e+03,6.798e+04
74.8,6.126e+02,6.724e+04,1.070e+03,6.892e+04
76.2,6.359e+02,6.340e+04,1.107e+03,6.514e+04
77.5,6.490e+02,6.128e+04,1.220e+03,6.315e+04
78.8,6.627e+02,5.865e+04,1.303e+03,6.062e+04
80.2,6.215e+02,5.418e+04,1.283e+03,5.609e+04
81.5,5.466e+02,4.807e+04,1.141e+03,4.976e+04
82.9,4.743e+02,4.548e+04,8.122e+02,4.677e+04
84.2,4.400e+02,4.337e+04,4.863e+02,4.430e+04
85.5,4.100e+02,3.668e+04,4.747e+02,3.757e+04
86.9,6.751e+02,5.175e+04,7.978e+02,5.323e+04
88.2,7.044e+02,4.241e+04,9.358e+02,4.405e+04
89.5,8.958e+02,4.499e+04,1.062e+03,4.695e+04
90.9,9.655e+02,4.690e+04,9.227e+02,4.879e+04
92.2,8.862e+02,4.103e+04,1.078e+03,4.300e+04
93.5,9.028e+02,3.797e+04,1.624e+03,4.049e+04
94.9,9.245e+02,3.566e+04,1.140e+03,3.772e+04
96.2,9.356e+02,3.598e+04,8.791e+02,3.779e+04
97.6,9.707e+02,3.731e+04,1.004e+03,3.928e+04
98.9,1.068e+03,3.936e+04,9.076e+02,4.133e+04
100.2,1.228e+03,4.237e+04,1.128e+03,4.472e+04
101.6,1.440e+03,4.452e+04,1.251e+03,4.721e+04
102.9,1.677e+03,4.592e+04,1.483e+03,4.908e+04
104.2,1.954e+03,4.693e+04,1.729e+03,5.061e+04
105.6,2.275e+03,4.713e+04,1.845e+03,5.125e+04
106.9,1.675e+03,3.131e+04,1.638e+03,3.463e+04
108.2,3.437e+02,5.434e+03,8.126e+02,6.591e+03
109.6,1.437e+02,1.638e+03,5.606e+02,2.343e+03
110.9,1.737e+02,1.536e+03,4.722e+02,2.181e+03
112.3,2.574e+02,1.575e+03,6.522e+02,2.484e+03
113.6,2.377e+02,1.288e+03,6.401e+02,2.166e+03
114.9,2.592e+02,1.296e+03,6.849e+02,2.240e+03
116.3,2.389e+02,1.537e+03,8.463e+02,2.623e+03
117.6,1.957e+02,1.672e+03,8.437e+02,2.712e+03
118.9,3.077e+02,1.300e+03,6.196e+02,2.227e+03
120.3,3.343e+02,1.054e+03,4.345e+02,1.823e+03
121.6,2.796e+02,1.333e+03,4.595e+02,2.072e+03
123.0,2.308e+02,1.314e+03,3.118e+02,1.857e+03
124.3,2.621e+02,1.366e+03,3.651e+02,1.993e+03
125.6,2.599e+02,1.295e+03,3.606e+02,1.915e+03
127.0,2.437e+02,1.255e+03,3.317e+02,1.830e+03
128.3,2.067e+02,1.281e+03,3.161e+02,1.804e+03
129.6,2.169e+02,1.354e+03,3.396e+02,1.911e+03
131.0,2.455e+02,1.439e+03,3.095e+02,1.994e+03
132.3,2.499e+02,1.605e+03,2.076e+02,2.063e+03
133.6,2.341e+02,1.726e+03,1.848e+02,2.145e+03
135.0,2.069e+02,2.107e+03,2.960e+02,2.609e+03
136.3,1.705e+02,2.674e+03,4.797e+02,3.324e+03
137.7,1.079e+02,1.250e+03,3.602e+02,1.718e+03
139.0,1.300e+02,1.949e+03,9.155e+02,2.994e+03
140.3,1.806e+02,2.798e+03,1.482e+03,4.460e+03
141.7,2.097e+02,2.681e+03,1.781e+03,4.672e+03
143.0,2.004e+02,2.038e+03,1.594e+03,3.832e+03
144.3,2.329e+02,2.220e+03,2.421e+03,4.874e+03
145.7,2.525e+02,2.863e+03,3.316e+03,6.431e+03
147.0,2.442e+02,3.418e+03,4.375e+03,8.037e+03
148.3,2.182e+02,1.879e+03,3.474e+03,5.571e+03
149.7,2.824e+02,2.262e+03,6.211e+03,8.755e+03
151.0,2.811e+02,3.304e+03,1.024e+04,1.383e+04
152.4,2.689e+02,4.543e+03,1.481e+04,1.962e+04
153.7,3.272e+02,5.220e+03,1.979e+04,2.533e+04
155.0,2.272e+02,5.926e+03,2.174e+04,2.790e+04
156.4,2.336e+02,5.410e+03,2.433e+04,2.997e+04
157.7,2.736e+02,4.214e+03,2.359e+04,2.808e+04
159.0,2.305e+02,3.627e+03,1.673e+04,2.058e+04
160.4,2.984e+02,5.171e+03,1.674e+04,2.221e+04
161.7,2.529e+02,5.797e+03,1.369e+04,1.974e+04
163.0,2.389e+02,7.721e+03,1.222e+04,2.018e+04
164.4,2.827e+02,1.099e+04,1.177e+04,2.304e+04
165.7,2.186e+02,8.943e+03,7.762e+03,1.692e+04
