freq,psd_x,psd_y,psd_z,psd_xyz,ei(40.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000
1.3,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.989
2.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.973
3.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.952
5.1,2.402e+02,5.224e+00,3.007e+00,2.484e+02,0.927
6.4,3.112e+02,4.138e+00,2.431e+00,3.178e+02,0.898
7.6,3.512e+02,3.317e+00,2.129e+00,3.566e+02,0.865
8.9,3.800e+02,2.841e+00,1.777e+00,3.846e+02,0.829
10.2,4.021e+02,5.023e+00,1.492e+00,4.086e+02,0.789
11.4,4.141e+02,1.088e+01,1.394e+00,4.264e+02,0.747
12.7,4.451e+02,8.915e+00,1.371e+00,4.554e+02,0.702
14.0,4.919e+02,9.174e+00,1.526e+00,5.026e+02,0.656
15.2,3.226e+02,7.899e+00,1.749e+00,3.322e+02,0.608
16.5,1.639e+02,2.918e+00,1.579e+00,1.684e+02,0.559
17.8,1.388e+02,2.014e+00,1.425e+00,1.422e+02,0.509
19.1,1.261e+02,2.390e+00,1.340e+00,1.299e+02,0.460
20.3,9.833e+01,2.545e+00,1.252e+00,1.021e+02,0.411
21.6,8.918e+01,2.666e+00,1.463e+00,9.331e+01,0.362
22.9,9.736e+01,3.430e+00,1.438e+00,1.022e+02,0.315
24.1,1.043e+02,3.527e+00,1.510e+00,1.093e+02,0.270
25.4,1.162e+02,4.228e+00,1.694e+00,1.221e+02,0.227
26.7,1.185e+02,5.303e+00,1.936e+00,1.257e+02,0.186
28.0,1.158e+02,5.305e+00,2.360e+00,1.235e+02,0.148
29.2,1.202e+02,6.531e+00,2.729e+00,1.295e+02,0.113
30.5,1.427e+02,1.121e+01,2.704e+00,1.566e+02,0.082
31.8,1.600e+02,1.366e+01,3.109e+00,1.768e+02,0.055
33.0,1.771e+02,1.328e+01,3.975e+00,1.943e+02,0.034
34.3,2.155e+02,1.506e+01,5.717e+00,2.363e+02,0.021
35.6,2.274e+02,1.904e+01,9.554e+00,2.560e+02,0.022
36.8,2.848e+02,3.685e+01,1.626e+01,3.380e+02,0.030
38.1,3.479e+02,7.110e+01,1.775e+01,4.368e+02,0.036
39.4,4.650e+02,1.387e+02,2.842e+01,6.321e+02,0.039
40.7,5.552e+02,1.260e+02,2.605e+01,7.072e+02,0.039
41.9,6.122e+02,8.295e+01,2.204e+01,7.172e+02,0.035
43.2,6.299e+02,7.581e+01,2.548e+01,7.312e+02,0.031
44.5,3.777e+02,8.532e+01,1.788e+01,4.809e+02,0.028
45.7,2.023e+02,7.188e+01,1.084e+01,2.850e+02,0.029
47.0,8.953e+01,7.007e+01,1.194e+01,1.716e+02,0.034
48.3,4.448e+01,7.113e+01,8.137e+00,1.237e+02,0.045
49.6,3.751e+01,6.004e+01,4.882e+00,1.024e+02,0.064
50.8,4.400e+01,6.796e+01,4.799e+00,1.168e+02,0.090
52.1,4.005e+01,6.371e+01,2.758e+00,1.065e+02,0.118
53.4,3.917e+01,5.112e+01,1.801e+00,9.210e+01,0.148
54.6,5.308e+01,3.025e+01,1.442e+00,8.477e+01,0.180
55.9,5.425e+01,1.964e+01,1.589e+00,7.548e+01,0.212
57.2,3.292e+01,1.672e+01,1.836e+00,5.147e+01,0.246
58.4,1.315e+01,1.273e+01,1.671e+00,2.755e+01,0.279
59.7,6.464e+00,1.131e+01,1.551e+00,1.932e+01,0.313
61.0,3.661e+00,1.012e+01,1.352e+00,1.513e+01,0.346
62.3,2.879e+00,1.003e+01,1.393e+00,1.430e+01,0.379
63.5,2.847e+00,7.040e+00,1.560e+00,1.145e+01,0.411
64.8,3.182e+00,5.452e+00,1.740e+00,1.037e+01,0.441
66.1,3.412e+00,4.583e+00,2.089e+00,1.008e+01,0.469
67.3,4.033e+00,5.451e+00,2.885e+00,1.237e+01,0.496
68.6,5.160e+00,7.530e+00,3.801e+00,1.649e+01,0.520
69.9,8.239e+00,8.500e+00,4.430e+00,2.117e+01,0.542
71.2,1.079e+01,7.986e+00,3.933e+00,2.271e+01,0.561
72.4,1.547e+01,1.048e+01,5.264e+00,3.122e+01,0.578
73.7,1.314e+01,9.892e+00,5.542e+00,2.857e+01,0.591
75.0,1.590e+01,1.219e+01,9.321e+00,3.741e+01,0.602
76.2,1.558e+01,9.187e+00,1.307e+01,3.784e+01,0.609
77.5,1.106e+01,4.257e+00,1.280e+01,2.811e+01,0.613
78.8,9.080e+00,3.970e+00,1.238e+01,2.544e+01,0.614
80.0,8.377e+00,6.276e+00,1.128e+01,2.593e+01,0.612
81.3,6.981e+00,6.774e+00,7.222e+00,2.098e+01,0.607
82.6,6.990e+00,5.835e+00,4.413e+00,1.724e+01,0.598
83.9,8.492e+00,5.143e+00,3.494e+00,1.713e+01,0.587
85.1,9.292e+00,4.457e+00,3.421e+00,1.717e+01,0.573
86.4,9.681e+00,4.333e+00,3.162e+00,1.718e+01,0.556
87.7,1.029e+01,4.175e+00,2.714e+00,1.718e+01,0.537
88.9,9.960e+00,3.962e+00,2.718e+00,1.664e+01,0.516
90.2,9.204e+00,3.578e+00,2.810e+00,1.559e+01,0.492
91.5,1.006e+01,3.816e+00,3.408e+00,1.729e+01,0.467
92.8,1.064e+01,3.981e+00,4.150e+00,1.877e+01,0.441
94.0,9.239e+00,3.263e+00,3.985e+00,1.649e+01,0.413
95.3,1.071e+01,4.028e+00,4.624e+00,1.936e+01,0.384
96.6,9.074e+00,6.397e+00,4.366e+00,1.984e+01,0.355
97.8,4.598e+00,5.887e+00,2.243e+00,1.273e+01,0.325
99.1,1.439e+00,1.633e+00,4.908e-01,3.563e+00,0.295
100.4,1.727e+00,1.383e+00,4.305e-01,3.540e+00,0.266
101.6,1.915e+00,1.468e+00,5.047e-01,3.887e+00,0.237
102.9,1.946e+00,1.167e+00,6.502e-01,3.763e+00,0.209
104.2,1.748e+00,1.016e+00,6.406e-01,3.405e+00,0.182
105.5,1.743e+00,1.136e+00,5.472e-01,3.427e+00,0.161
106.7,1.974e+00,1.392e+00,7.512e-01,4.117e+00,0.149
108.0,1.987e+00,1.472e+00,6.623e-01,4.121e+00,0.139
