freq,psd_x,psd_y,psd_z,psd_xyz,ei(46.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000
1.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.991
2.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.978
3.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.963
5.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.943
6.2,3.025e+01,5.485e+02,2.295e+01,6.017e+02,0.921
7.4,2.768e+01,6.594e+02,1.935e+01,7.064e+02,0.896
8.7,2.716e+01,8.522e+02,2.012e+01,8.995e+02,0.869
9.9,3.278e+01,1.064e+03,1.826e+01,1.115e+03,0.838
11.2,4.428e+01,9.356e+02,1.518e+01,9.950e+02,0.806
12.4,3.677e+01,7.786e+02,1.483e+01,8.302e+02,0.771
13.7,4.008e+01,8.621e+02,1.139e+01,9.135e+02,0.735
14.9,4.398e+01,9.841e+02,1.058e+01,1.039e+03,0.697
16.1,2.354e+01,1.028e+03,1.057e+01,1.062e+03,0.658
17.4,1.362e+01,1.288e+03,1.006e+01,1.312e+03,0.617
18.6,1.183e+01,1.516e+03,1.069e+01,1.538e+03,0.576
19.9,1.335e+01,1.688e+03,1.376e+01,1.715e+03,0.535
21.1,1.365e+01,2.049e+03,1.698e+01,2.079e+03,0.493
22.3,1.250e+01,2.589e+03,1.654e+01,2.618e+03,0.451
23.6,9.019e+00,2.701e+03,1.558e+01,2.726e+03,0.410
24.8,7.461e+00,3.383e+03,1.835e+01,3.409e+03,0.369
26.1,8.619e+00,4.360e+03,2.640e+01,4.395e+03,0.329
27.3,6.898e+00,5.079e+03,3.792e+01,5.124e+03,0.291
28.5,6.158e+00,6.549e+03,5.504e+01,6.610e+03,0.253
29.8,8.381e+00,8.145e+03,5.778e+01,8.211e+03,0.217
31.0,9.248e+00,1.008e+04,7.760e+01,1.016e+04,0.183
32.3,1.590e+01,1.271e+04,1.182e+02,1.284e+04,0.151
33.5,2.358e+01,2.001e+04,3.199e+02,2.036e+04,0.122
34.8,2.496e+01,3.722e+04,8.047e+02,3.805e+04,0.094
36.0,3.522e+01,7.423e+04,2.264e+03,7.653e+04,0.070
37.2,9.372e+01,1.142e+05,5.182e+03,1.195e+05,0.049
38.5,3.398e+02,1.133e+05,7.993e+03,1.216e+05,0.031
39.7,5.680e+02,9.384e+04,9.759e+03,1.042e+05,0.021
41.0,8.783e+02,8.807e+04,1.066e+04,9.960e+04,0.021
42.2,1.362e+03,8.738e+04,8.687e+03,9.743e+04,0.027
43.4,1.918e+03,6.878e+04,5.220e+03,7.592e+04,0.033
44.7,1.616e+03,4.596e+04,3.488e+03,5.107e+04,0.038
45.9,1.038e+03,3.402e+04,2.087e+03,3.715e+04,0.040
47.2,6.080e+02,2.792e+04,8.322e+02,2.936e+04,0.039
48.4,2.881e+02,1.841e+04,1.460e+02,1.885e+04,0.036
49.7,1.380e+02,1.310e+04,2.782e+01,1.327e+04,0.031
50.9,5.680e+01,1.036e+04,3.654e+01,1.045e+04,0.029
52.1,3.472e+01,7.753e+03,6.425e+01,7.852e+03,0.028
53.4,2.764e+01,5.970e+03,1.107e+02,6.109e+03,0.030
54.6,1.607e+01,4.781e+03,1.339e+02,4.931e+03,0.035
55.9,9.272e+00,4.878e+03,1.523e+02,5.040e+03,0.044
57.1,9.826e+00,6.245e+03,1.756e+02,6.430e+03,0.058
58.3,1.030e+01,5.132e+03,1.219e+02,5.265e+03,0.079
59.6,1.014e+01,4.263e+03,8.820e+01,4.361e+03,0.102
60.8,7.940e+00,3.473e+03,5.973e+01,3.541e+03,0.127
62.1,7.912e+00,3.244e+03,4.967e+01,3.302e+03,0.152
63.3,7.927e+00,2.762e+03,3.890e+01,2.808e+03,0.179
64.5,7.980e+00,2.504e+03,3.153e+01,2.544e+03,0.207
65.8,5.764e+00,2.055e+03,2.382e+01,2.084e+03,0.235
67.0,4.306e+00,1.928e+03,2.071e+01,1.953e+03,0.263
68.3,4.494e+00,1.861e+03,1.921e+01,1.885e+03,0.291
69.5,4.693e+00,1.657e+03,1.659e+01,1.679e+03,0.320
70.8,4.889e+00,1.564e+03,1.511e+01,1.584e+03,0.348
72.0,4.776e+00,1.476e+03,1.369e+01,1.495e+03,0.375
73.2,5.656e+00,1.364e+03,1.188e+01,1.382e+03,0.402
74.5,7.010e+00,1.281e+03,1.146e+01,1.300e+03,0.428
75.7,7.810e+00,1.183e+03,1.273e+01,1.203e+03,0.453
77.0,7.923e+00,1.124e+03,1.327e+01,1.145e+03,0.476
78.2,9.462e+00,1.120e+03,1.410e+01,1.144e+03,0.498
79.4,9.017e+00,1.094e+03,1.233e+01,1.115e+03,0.519
80.7,1.025e+01,1.086e+03,1.078e+01,1.107e+03,0.537
81.9,1.050e+01,1.046e+03,1.090e+01,1.068e+03,0.554
83.2,8.960e+00,9.248e+02,1.227e+01,9.461e+02,0.569
84.4,9.274e+00,1.083e+03,1.361e+01,1.106e+03,0.582
85.6,8.838e+00,1.022e+03,1.383e+01,1.045e+03,0.593
86.9,8.640e+00,9.918e+02,1.358e+01,1.014e+03,0.602
88.1,8.702e+00,8.277e+02,1.332e+01,8.497e+02,0.608
89.4,8.245e+00,7.082e+02,1.737e+01,7.338e+02,0.612
90.6,9.257e+00,1.031e+03,1.999e+01,1.060e+03,0.614
91.9,9.105e+00,1.000e+03,1.954e+01,1.029e+03,0.614
93.1,8.509e+00,7.642e+02,2.082e+01,7.935e+02,0.611
94.3,4.723e+00,2.041e+02,1.314e+01,2.219e+02,0.606
95.6,3.781e+00,5.382e+01,1.140e+01,6.900e+01,0.599
96.8,3.376e+00,4.737e+01,9.875e+00,6.062e+01,0.590
98.1,3.242e+00,6.065e+01,9.875e+00,7.376e+01,0.579
99.3,3.752e+00,6.307e+01,1.185e+01,7.868e+01,0.566
100.5,3.842e+00,5.662e+01,9.140e+00,6.960e+01,0.551
101.8,3.813e+00,5.275e+01,1.051e+01,6.707e+01,0.535
103.0,3.525e+00,4.209e+01,9.127e+00,5.474e+01,0.517
104.3,4.150e+00,3.559e+01,9.978e+00,4.972e+01,0.497
105.5,5.028e+00,3.051e+01,1.155e+01,4.709e+01,0.477
106.7,7.201e+00,3.023e+01,9.929e+00,4.736e+01,0.455
108.0,1.024e+01,3.127e+01,8.839e+00,5.035e+01,0.432
109.2,9.272e+00,2.065e+01,7.444e+00,3.737e+01,0.408
110.5,9.666e+00,1.655e+01,1.039e+01,3.661e+01,0.384
