freq,psd_x,psd_y,psd_z,psd_xyz,ei(36.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000
1.3,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.986
2.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.966
4.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.940
5.4,2.352e+02,4.619e+00,2.886e+00,2.427e+02,0.907
6.7,3.233e+02,3.755e+00,2.349e+00,3.294e+02,0.869
8.0,3.848e+02,3.168e+00,2.044e+00,3.900e+02,0.826
9.4,4.368e+02,2.953e+00,1.660e+00,4.414e+02,0.779
10.7,4.990e+02,5.805e+00,1.509e+00,5.063e+02,0.729
12.0,5.367e+02,1.401e+01,1.388e+00,5.521e+02,0.675
13.4,6.657e+02,1.019e+01,1.435e+00,6.773e+02,0.619
14.7,8.132e+02,8.542e+00,1.509e+00,8.232e+02,0.562
16.1,6.610e+02,6.242e+00,1.421e+00,6.686e+02,0.504
17.4,5.489e+02,3.114e+00,1.091e+00,5.531e+02,0.445
18.7,5.948e+02,2.077e+00,9.248e-01,5.978e+02,0.388
20.1,5.320e+02,1.954e+00,8.538e-01,5.348e+02,0.332
21.4,4.754e+02,1.613e+00,7.892e-01,4.778e+02,0.278
22.7,4.978e+02,1.541e+00,6.656e-01,5.000e+02,0.227
24.1,5.579e+02,1.599e+00,6.446e-01,5.602e+02,0.179
25.4,5.246e+02,2.400e+00,6.667e-01,5.277e+02,0.136
26.8,5.346e+02,2.879e+00,7.414e-01,5.382e+02,0.097
28.1,5.267e+02,2.821e+00,8.342e-01,5.304e+02,0.063
29.4,4.456e+02,3.964e+00,1.173e+00,4.507e+02,0.036
30.8,3.726e+02,4.158e+00,1.477e+00,3.782e+02,0.021
32.1,3.742e+02,5.297e+00,1.551e+00,3.810e+02,0.024
33.5,3.263e+02,8.028e+00,2.040e+00,3.363e+02,0.033
34.8,2.715e+02,1.063e+01,3.350e+00,2.855e+02,0.038
36.1,2.696e+02,1.041e+01,6.575e+00,2.866e+02,0.040
37.5,3.202e+02,1.586e+01,1.432e+01,3.504e+02,0.036
38.8,4.079e+02,2.521e+01,1.765e+01,4.508e+02,0.030
40.1,5.535e+02,3.742e+01,1.024e+01,6.012e+02,0.028
41.5,8.740e+02,5.664e+01,8.643e+00,9.393e+02,0.031
42.8,1.213e+03,6.495e+01,1.578e+01,1.294e+03,0.041
44.2,1.003e+03,5.686e+01,2.433e+01,1.084e+03,0.059
45.5,6.170e+02,4.472e+01,2.352e+01,6.852e+02,0.089
46.8,3.895e+02,5.490e+01,2.306e+01,4.674e+02,0.123
48.2,2.175e+02,5.536e+01,1.763e+01,2.905e+02,0.159
49.5,1.101e+02,4.892e+01,1.196e+01,1.709e+02,0.196
50.8,9.234e+01,4.888e+01,1.148e+01,1.527e+02,0.235
52.2,8.057e+01,3.767e+01,1.413e+01,1.324e+02,0.275
53.5,1.153e+02,3.602e+01,1.000e+01,1.613e+02,0.315
54.9,9.771e+01,3.051e+01,3.435e+00,1.317e+02,0.354
56.2,7.801e+01,1.860e+01,1.468e+00,9.808e+01,0.392
57.5,6.690e+01,1.137e+01,1.249e+00,7.952e+01,0.428
58.9,3.971e+01,8.570e+00,1.469e+00,4.974e+01,0.462
60.2,1.919e+01,6.291e+00,1.618e+00,2.710e+01,0.494
61.6,9.599e+00,4.315e+00,1.763e+00,1.568e+01,0.522
62.9,6.597e+00,3.692e+00,1.733e+00,1.202e+01,0.547
64.2,7.808e+00,3.882e+00,1.776e+00,1.347e+01,0.569
65.6,1.185e+01,4.471e+00,2.064e+00,1.839e+01,0.586
66.9,1.440e+01,4.433e+00,2.510e+00,2.134e+01,0.600
68.2,1.101e+01,3.710e+00,2.611e+00,1.733e+01,0.609
69.6,9.464e+00,3.826e+00,3.630e+00,1.692e+01,0.613
70.9,1.129e+01,3.874e+00,4.288e+00,1.945e+01,0.614
72.3,1.233e+01,2.301e+00,3.549e+00,1.818e+01,0.610
73.6,1.313e+01,3.531e+00,3.233e+00,1.990e+01,0.601
74.9,1.242e+01,6.373e+00,3.674e+00,2.247e+01,0.589
76.3,1.217e+01,8.888e+00,4.912e+00,2.597e+01,0.572
77.6,1.313e+01,9.272e+00,5.935e+00,2.834e+01,0.552
78.9,1.531e+01,9.695e+00,7.122e+00,3.213e+01,0.529
80.3,1.622e+01,8.759e+00,8.844e+00,3.382e+01,0.503
81.6,2.055e+01,9.888e+00,1.301e+01,4.345e+01,0.474
83.0,2.038e+01,8.308e+00,1.406e+01,4.275e+01,0.443
84.3,1.817e+01,4.745e+00,8.726e+00,3.164e+01,0.410
85.6,2.130e+01,3.619e+00,7.316e+00,3.224e+01,0.377
87.0,2.120e+01,2.348e+00,5.449e+00,2.900e+01,0.342
88.3,2.083e+01,1.781e+00,3.972e+00,2.658e+01,0.307
89.7,2.331e+01,1.879e+00,4.020e+00,2.920e+01,0.272
91.0,2.411e+01,1.665e+00,3.625e+00,2.940e+01,0.238
