freq,psd_x,psd_y,psd_z,psd_xyz,ei(50.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000
1.3,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.991
2.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.978
4.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.963
5.4,5.104e+01,4.251e+02,4.952e+01,5.257e+02,0.944
6.7,4.372e+01,4.944e+02,5.067e+01,5.888e+02,0.922
8.1,3.697e+01,5.799e+02,4.727e+01,6.641e+02,0.897
9.4,2.778e+01,7.091e+02,3.823e+01,7.751e+02,0.869
10.7,3.601e+01,8.883e+02,3.455e+01,9.588e+02,0.839
12.1,4.347e+01,7.938e+02,3.084e+01,8.681e+02,0.807
13.4,3.794e+01,6.388e+02,2.788e+01,7.046e+02,0.773
14.8,5.084e+01,7.043e+02,2.604e+01,7.812e+02,0.736
16.1,4.892e+01,8.073e+02,1.569e+01,8.719e+02,0.699
17.5,2.494e+01,8.866e+02,1.277e+01,9.244e+02,0.660
18.8,2.033e+01,1.078e+03,1.683e+01,1.116e+03,0.619
20.1,1.882e+01,1.259e+03,2.250e+01,1.301e+03,0.579
21.5,1.867e+01,1.433e+03,2.189e+01,1.474e+03,0.537
22.8,1.439e+01,1.656e+03,1.804e+01,1.688e+03,0.496
24.2,1.017e+01,1.882e+03,1.512e+01,1.907e+03,0.454
25.5,8.643e+00,2.142e+03,1.489e+01,2.166e+03,0.413
26.9,1.196e+01,2.727e+03,1.889e+01,2.758e+03,0.372
28.2,1.107e+01,3.180e+03,2.324e+01,3.214e+03,0.332
29.5,8.916e+00,4.043e+03,3.250e+01,4.084e+03,0.294
30.9,1.101e+01,5.205e+03,4.469e+01,5.261e+03,0.256
32.2,1.029e+01,6.720e+03,4.653e+01,6.777e+03,0.220
33.6,1.205e+01,7.894e+03,5.621e+01,7.963e+03,0.186
34.9,1.669e+01,1.045e+04,8.152e+01,1.055e+04,0.154
