freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.696e+01,4.515e+02,3.276e+01,5.012e+02
1.5,2.534e+01,4.397e+02,4.156e+01,5.066e+02
3.0,2.538e+01,2.855e+02,2.802e+01,3.389e+02
4.5,1.215e+02,3.849e+02,2.792e+01,5.344e+02
6.0,4.295e+02,8.737e+02,2.697e+01,1.330e+03
7.4,6.607e+02,1.339e+03,2.801e+01,2.027e+03
8.9,8.622e+02,1.908e+03,3.156e+01,2.802e+03
10.4,9.451e+02,2.588e+03,3.302e+01,3.566e+03
11.9,9.670e+02,4.123e+03,3.905e+01,5.129e+03
13.4,1.559e+03,4.100e+03,3.598e+01,5.695e+03
14.9,2.372e+03,3.488e+03,3.881e+01,5.899e+03
16.4,2.999e+03,4.507e+03,3.388e+01,7.540e+03
17.9,2.072e+03,5.188e+03,3.515e+01,7.295e+03
19.4,7.422e+02,6.736e+03,3.599e+01,7.514e+03
20.8,4.414e+02,8.533e+03,4.100e+01,9.016e+03
22.3,3.973e+02,1.067e+04,5.091e+01,1.111e+04
23.8,5.053e+02,1.372e+04,5.840e+01,1.429e+04
25.3,5.357e+02,1.672e+04,7.175e+01,1.733e+04
26.8,6.444e+02,1.959e+04,7.265e+01,2.030e+04
28.3,8.793e+02,2.616e+04,9.222e+01,2.713e+04
29.8,1.100e+03,3.422e+04,1.136e+02,3.543e+04
31.3,1.176e+03,4.091e+04,1.348e+02,4.222e+04
32.8,1.161e+03,5.069e+04,1.595e+02,5.201e+04
34.2,1.365e+03,6.276e+04,2.535e+02,6.438e+04
35.7,1.406e+03,9.568e+04,4.264e+02,9.752e+04
37.2,1.758e+03,1.228e+05,6.756e+02,1.252e+05
38.7,2.250e+03,1.546e+05,1.197e+03,1.580e+05
40.2,2.443e+03,2.320e+05,3.199e+03,2.377e+05
41.7,3.156e+03,4.687e+05,1.219e+04,4.841e+05
43.2,4.763e+03,1.303e+06,6.461e+04,1.372e+06
44.7,6.723e+03,1.938e+06,1.549e+05,2.100e+06
46.2,8.392e+03,1.484e+06,1.564e+05,1.649e+06
47.6,1.411e+04,1.054e+06,1.467e+05,1.215e+06
49.1,2.483e+04,1.098e+06,1.784e+05,1.301e+06
50.6,4.983e+04,1.105e+06,1.444e+05,1.299e+06
52.1,6.079e+04,9.588e+05,7.933e+04,1.099e+06
53.6,3.823e+04,5.848e+05,3.654e+04,6.595e+05
55.1,3.115e+04,5.637e+05,3.537e+04,6.303e+05
56.6,1.644e+04,4.880e+05,2.493e+04,5.294e+05
58.1,6.451e+03,3.352e+05,1.018e+04,3.518e+05
59.6,3.841e+03,2.722e+05,2.729e+03,2.788e+05
61.0,1.481e+03,2.048e+05,1.038e+03,2.073e+05
62.5,6.435e+02,1.544e+05,9.805e+02,1.561e+05
64.0,7.200e+02,1.302e+05,1.625e+03,1.325e+05
65.5,6.399e+02,8.747e+04,2.409e+03,9.052e+04
67.0,5.018e+02,9.400e+04,4.171e+03,9.867e+04
68.5,3.001e+02,9.504e+04,4.080e+03,9.942e+04
70.0,2.025e+02,8.070e+04,2.515e+03,8.342e+04
71.5,1.503e+02,9.040e+04,2.054e+03,9.260e+04
73.0,7.964e+01,6.763e+04,1.115e+03,6.882e+04
74.4,5.608e+01,6.092e+04,8.110e+02,6.179e+04
75.9,4.954e+01,6.880e+04,8.013e+02,6.965e+04
77.4,7.288e+01,5.651e+04,6.401e+02,5.722e+04
78.9,1.203e+02,4.202e+04,4.657e+02,4.261e+04
80.4,2.445e+02,5.237e+04,5.146e+02,5.313e+04
81.9,4.118e+02,4.990e+04,4.429e+02,5.075e+04
83.4,4.103e+02,3.845e+04,2.952e+02,3.916e+04
84.9,3.620e+02,4.112e+04,2.960e+02,4.178e+04
86.4,3.060e+02,3.776e+04,3.501e+02,3.841e+04
87.8,3.090e+02,3.820e+04,4.273e+02,3.894e+04
89.3,3.261e+02,3.184e+04,4.527e+02,3.261e+04
90.8,4.134e+02,3.231e+04,6.435e+02,3.337e+04
92.3,3.718e+02,2.887e+04,6.440e+02,2.988e+04
93.8,3.428e+02,3.447e+04,6.461e+02,3.546e+04
95.3,2.968e+02,3.231e+04,5.254e+02,3.313e+04
96.8,2.720e+02,3.027e+04,4.207e+02,3.097e+04
98.3,2.589e+02,3.137e+04,4.999e+02,3.213e+04
99.8,2.206e+02,2.984e+04,6.515e+02,3.071e+04
101.2,2.087e+02,2.888e+04,7.043e+02,2.980e+04
102.7,2.082e+02,2.673e+04,7.790e+02,2.771e+04
104.2,2.063e+02,3.030e+04,7.928e+02,3.130e+04
105.7,1.895e+02,2.548e+04,6.354e+02,2.631e+04
107.2,1.866e+02,2.364e+04,4.615e+02,2.428e+04
108.7,1.959e+02,2.894e+04,4.497e+02,2.959e+04
110.2,1.524e+02,2.306e+04,3.525e+02,2.357e+04
111.7,1.866e+02,2.607e+04,4.529e+02,2.671e+04
113.2,2.288e+02,2.919e+04,5.178e+02,2.993e+04
114.6,2.260e+02,2.544e+04,5.084e+02,2.617e+04
116.1,2.659e+02,2.630e+04,6.206e+02,2.718e+04
117.6,2.911e+02,2.438e+04,6.343e+02,2.531e+04
119.1,3.577e+02,2.731e+04,8.366e+02,2.850e+04
120.6,3.565e+02,2.745e+04,1.011e+03,2.882e+04
122.1,3.020e+02,2.505e+04,1.065e+03,2.642e+04
123.6,2.999e+02,3.154e+04,1.627e+03,3.347e+04
125.1,3.450e+02,3.616e+04,2.390e+03,3.889e+04
126.6,4.812e+02,3.665e+04,3.499e+03,4.063e+04
128.0,7.888e+02,3.786e+04,4.948e+03,4.360e+04
129.5,9.196e+02,3.741e+04,6.325e+03,4.465e+04
131.0,8.823e+02,3.059e+04,6.531e+03,3.800e+04
132.5,8.191e+02,1.961e+04,4.873e+03,2.530e+04
134.0,3.606e+02,4.045e+03,1.248e+03,5.654e+03
135.5,1.409e+02,1.210e+03,3.663e+02,1.717e+03
137.0,1.018e+02,1.012e+03,2.086e+02,1.322e+03
138.5,1.461e+02,9.937e+02,2.307e+02,1.370e+03
140.0,1.156e+02,6.537e+02,1.992e+02,9.685e+02
141.4,1.072e+02,5.060e+02,3.768e+02,9.900e+02
142.9,1.073e+02,4.809e+02,4.485e+02,1.037e+03
144.4,7.117e+01,3.392e+02,3.190e+02,7.295e+02
145.9,6.976e+01,3.548e+02,3.999e+02,8.244e+02
147.4,7.576e+01,3.892e+02,5.062e+02,9.711e+02
148.9,8.629e+01,4.624e+02,4.863e+02,1.035e+03
150.4,8.362e+01,4.785e+02,3.278e+02,8.898e+02
151.9,7.698e+01,5.633e+02,2.375e+02,8.778e+02
153.4,8.910e+01,6.396e+02,2.433e+02,9.720e+02
154.8,9.835e+01,7.915e+02,3.825e+02,1.272e+03
156.3,9.693e+01,9.891e+02,7.010e+02,1.787e+03
157.8,9.334e+01,1.191e+03,9.631e+02,2.247e+03
159.3,8.736e+01,1.693e+03,1.207e+03,2.987e+03
160.8,8.853e+01,1.749e+03,1.373e+03,3.211e+03
162.3,7.764e+01,2.554e+03,2.250e+03,4.882e+03
163.8,8.099e+01,1.703e+03,1.890e+03,3.674e+03
165.3,8.806e+01,1.416e+03,2.688e+03,4.192e+03
166.8,7.927e+01,1.553e+03,3.831e+03,5.463e+03
168.2,6.822e+01,1.407e+03,3.891e+03,5.366e+03
169.7,7.494e+01,1.415e+03,4.457e+03,5.947e+03
171.2,9.446e+01,1.322e+03,5.005e+03,6.421e+03
172.7,1.030e+02,9.098e+02,5.257e+03,6.269e+03
174.2,1.141e+02,1.058e+03,5.938e+03,7.109e+03
175.7,1.207e+02,9.038e+02,2.863e+03,3.888e+03
177.2,1.213e+02,1.390e+03,2.785e+03,4.297e+03
178.7,1.010e+02,1.312e+03,2.117e+03,3.530e+03
180.2,1.031e+02,2.010e+03,1.959e+03,4.073e+03
181.6,1.102e+02,2.321e+03,1.408e+03,3.839e+03
183.1,1.061e+02,2.126e+03,9.156e+02,3.148e+03
184.6,1.130e+02,3.328e+03,1.121e+03,4.562e+03
186.1,1.184e+02,3.491e+03,1.005e+03,4.615e+03
187.6,7.633e+01,4.001e+03,9.918e+02,5.069e+03
189.1,7.314e+01,5.041e+03,1.033e+03,6.147e+03
190.6,6.568e+01,6.635e+03,1.094e+03,7.794e+03
192.1,6.525e+01,1.096e+04,1.577e+03,1.260e+04
193.6,8.145e+01,1.504e+04,1.818e+03,1.693e+04
195.0,9.720e+01,2.026e+04,2.008e+03,2.236e+04
196.5,1.189e+02,2.068e+04,1.743e+03,2.254e+04
198.0,1.456e+02,2.809e+04,2.073e+03,3.031e+04
199.5,1.666e+02,3.353e+04,2.199e+03,3.590e+04
