freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.828e+01,5.391e+02,3.268e+01,5.901e+02
1.5,3.224e+01,6.407e+02,6.164e+01,7.346e+02
3.0,3.545e+01,4.136e+02,5.177e+01,5.008e+02
4.5,1.305e+02,5.853e+02,6.160e+01,7.774e+02
6.0,4.414e+02,1.035e+03,6.996e+01,1.546e+03
7.4,6.615e+02,1.337e+03,4.249e+01,2.041e+03
8.9,8.242e+02,2.089e+03,6.568e+01,2.979e+03
10.4,1.015e+03,2.914e+03,7.418e+01,4.004e+03
11.9,1.285e+03,4.248e+03,7.277e+01,5.606e+03
13.4,9.669e+02,3.543e+03,6.756e+01,4.578e+03
14.9,6.345e+02,3.009e+03,7.526e+01,3.718e+03
16.4,5.795e+02,4.702e+03,1.165e+02,5.399e+03
17.9,4.105e+02,5.472e+03,8.442e+01,5.967e+03
19.4,5.032e+02,6.347e+03,8.974e+01,6.940e+03
20.8,5.077e+02,7.895e+03,1.235e+02,8.527e+03
22.3,5.142e+02,1.007e+04,1.101e+02,1.069e+04
23.8,5.454e+02,1.274e+04,1.513e+02,1.344e+04
25.3,6.506e+02,1.434e+04,1.543e+02,1.514e+04
26.8,8.355e+02,1.861e+04,2.104e+02,1.966e+04
28.3,9.959e+02,2.418e+04,2.079e+02,2.538e+04
29.8,1.147e+03,2.952e+04,2.507e+02,3.091e+04
31.3,1.240e+03,3.763e+04,3.818e+02,3.925e+04
32.8,1.276e+03,4.663e+04,3.943e+02,4.830e+04
34.2,1.361e+03,5.678e+04,5.599e+02,5.870e+04
35.7,1.709e+03,8.002e+04,8.237e+02,8.256e+04
37.2,2.027e+03,1.116e+05,1.395e+03,1.150e+05
38.7,2.259e+03,1.414e+05,2.151e+03,1.458e+05
40.2,2.443e+03,2.054e+05,4.489e+03,2.124e+05
41.7,2.850e+03,4.318e+05,1.462e+04,4.493e+05
43.2,3.756e+03,9.598e+05,4.827e+04,1.012e+06
44.7,5.041e+03,1.528e+06,1.292e+05,1.662e+06
46.1,9.045e+03,1.437e+06,1.572e+05,1.603e+06
47.6,1.640e+04,9.458e+05,1.254e+05,1.088e+06
49.1,3.252e+04,1.008e+06,1.480e+05,1.188e+06
50.6,5.022e+04,9.985e+05,1.176e+05,1.166e+06
52.1,5.068e+04,8.212e+05,6.322e+04,9.351e+05
53.6,3.727e+04,6.377e+05,3.674e+04,7.117e+05
55.1,3.207e+04,5.955e+05,3.589e+04,6.635e+05
56.6,1.958e+04,4.708e+05,2.392e+04,5.143e+05
58.1,1.030e+04,3.359e+05,1.024e+04,3.565e+05
59.5,6.591e+03,2.716e+05,3.206e+03,2.814e+05
61.0,3.339e+03,2.213e+05,1.094e+03,2.257e+05
62.5,2.553e+03,1.559e+05,9.373e+02,1.594e+05
64.0,3.836e+03,1.437e+05,1.637e+03,1.491e+05
65.5,3.296e+03,1.163e+05,2.176e+03,1.218e+05
67.0,1.572e+03,1.011e+05,3.060e+03,1.057e+05
68.5,4.596e+02,9.448e+04,3.113e+03,9.805e+04
70.0,1.792e+02,1.046e+05,2.754e+03,1.076e+05
71.5,1.633e+02,9.607e+04,1.913e+03,9.815e+04
72.9,1.601e+02,8.117e+04,1.216e+03,8.255e+04
74.4,1.579e+02,6.969e+04,8.486e+02,7.069e+04
