freq,psd_x,psd_y,psd_z,psd_xyz,ei(42.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.987
3.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.969
4.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.945
6.0,1.665e+02,4.334e+00,2.163e+00,1.730e+02,0.915
7.4,2.183e+02,3.230e+00,1.787e+00,2.233e+02,0.881
8.9,2.494e+02,2.476e+00,1.633e+00,2.535e+02,0.842
10.4,2.893e+02,2.284e+00,1.431e+00,2.930e+02,0.799
11.9,3.243e+02,4.288e+00,1.143e+00,3.297e+02,0.753
13.4,3.580e+02,9.266e+00,1.201e+00,3.684e+02,0.704
14.9,4.364e+02,6.386e+00,1.082e+00,4.439e+02,0.653
16.4,5.510e+02,6.089e+00,1.131e+00,5.582e+02,0.599
17.9,4.308e+02,4.915e+00,1.082e+00,4.368e+02,0.545
19.4,3.086e+02,2.512e+00,8.959e-01,3.120e+02,0.490
20.9,3.295e+02,1.663e+00,7.356e-01,3.319e+02,0.436
22.3,3.502e+02,1.280e+00,6.911e-01,3.522e+02,0.382
23.8,3.307e+02,1.248e+00,6.340e-01,3.326e+02,0.329
25.3,3.021e+02,1.389e+00,6.912e-01,3.042e+02,0.279
26.8,2.970e+02,1.337e+00,6.784e-01,2.991e+02,0.230
28.3,2.938e+02,1.487e+00,6.579e-01,2.960e+02,0.185
29.8,2.797e+02,2.131e+00,7.463e-01,2.826e+02,0.144
31.3,2.434e+02,2.897e+00,7.860e-01,2.471e+02,0.106
32.8,1.836e+02,3.261e+00,1.562e+00,1.884e+02,0.073
34.3,1.503e+02,4.413e+00,1.887e+00,1.566e+02,0.045
35.8,1.351e+02,6.924e+00,1.294e+00,1.433e+02,0.025
37.2,1.231e+02,7.860e+00,1.152e+00,1.321e+02,0.020
38.7,1.530e+02,7.750e+00,1.344e+00,1.621e+02,0.028
40.2,1.653e+02,8.280e+00,1.711e+00,1.753e+02,0.035
41.7,1.908e+02,1.611e+01,2.990e+00,2.099e+02,0.039
43.2,2.345e+02,3.103e+01,6.166e+00,2.717e+02,0.039
44.7,3.172e+02,5.386e+01,1.384e+01,3.849e+02,0.034
46.2,4.788e+02,1.053e+02,3.207e+01,6.162e+02,0.030
47.7,6.999e+02,8.969e+01,3.837e+01,8.280e+02,0.028
49.2,7.072e+02,4.700e+01,1.865e+01,7.729e+02,0.031
50.6,4.775e+02,6.075e+01,1.085e+01,5.491e+02,0.041
52.1,3.131e+02,7.480e+01,1.178e+01,3.997e+02,0.057
53.6,1.922e+02,5.470e+01,1.030e+01,2.572e+02,0.085
55.1,1.045e+02,4.025e+01,9.936e+00,1.547e+02,0.116
56.6,5.728e+01,3.164e+01,7.875e+00,9.680e+01,0.149
58.1,4.523e+01,2.279e+01,7.019e+00,7.504e+01,0.185
59.6,5.103e+01,2.128e+01,9.793e+00,8.210e+01,0.221
61.1,4.288e+01,2.250e+01,7.316e+00,7.269e+01,0.258
62.6,4.589e+01,1.713e+01,4.847e+00,6.787e+01,0.295
64.1,7.361e+01,1.045e+01,3.399e+00,8.746e+01,0.332
65.5,7.602e+01,7.469e+00,2.819e+00,8.631e+01,0.369
67.0,4.595e+01,5.760e+00,2.598e+00,5.431e+01,0.404
68.5,2.245e+01,4.899e+00,2.968e+00,3.031e+01,0.437
70.0,1.234e+01,3.706e+00,2.936e+00,1.898e+01,0.469
71.5,6.785e+00,4.230e+00,2.987e+00,1.400e+01,0.498
73.0,3.388e+00,5.307e+00,2.971e+00,1.167e+01,0.525
