freq,psd_x,psd_y,psd_z,psd_xyz,ei(55.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.991
3.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.978
4.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.962
6.0,1.366e+01,2.952e+02,1.578e+01,3.247e+02,0.943
7.4,9.020e+00,3.470e+02,1.213e+01,3.681e+02,0.921
8.9,7.300e+00,4.103e+02,8.918e+00,4.265e+02,0.896
10.4,8.132e+00,4.901e+02,9.520e+00,5.078e+02,0.868
11.9,1.422e+01,6.225e+02,9.704e+00,6.465e+02,0.838
13.4,2.472e+01,5.363e+02,8.626e+00,5.697e+02,0.805
14.9,2.218e+01,4.193e+02,6.999e+00,4.485e+02,0.771
16.4,2.881e+01,5.211e+02,7.400e+00,5.573e+02,0.734
17.9,2.910e+01,5.516e+02,7.059e+00,5.877e+02,0.696
19.4,1.423e+01,6.346e+02,5.975e+00,6.548e+02,0.657
20.8,6.478e+00,7.289e+02,6.042e+00,7.415e+02,0.616
22.3,4.717e+00,8.433e+02,5.652e+00,8.536e+02,0.575
23.8,4.997e+00,9.708e+02,8.433e+00,9.843e+02,0.533
25.3,5.693e+00,1.205e+03,9.302e+00,1.220e+03,0.492
26.8,4.440e+00,1.395e+03,9.827e+00,1.409e+03,0.450
28.3,3.740e+00,1.601e+03,1.032e+01,1.615e+03,0.408
29.8,3.562e+00,1.854e+03,1.096e+01,1.869e+03,0.368
31.3,3.286e+00,2.283e+03,1.306e+01,2.299e+03,0.328
32.8,3.452e+00,2.769e+03,1.575e+01,2.789e+03,0.289
34.2,3.532e+00,3.572e+03,2.152e+01,3.597e+03,0.252
35.7,3.828e+00,4.579e+03,2.951e+01,4.613e+03,0.216
37.2,4.192e+00,5.130e+03,4.393e+01,5.178e+03,0.182
38.7,5.719e+00,6.504e+03,7.879e+01,6.588e+03,0.150
40.2,1.053e+01,1.074e+04,2.004e+02,1.095e+04,0.120
41.7,1.677e+01,2.052e+04,6.045e+02,2.114e+04,0.093
43.2,3.396e+01,4.662e+04,2.175e+03,4.883e+04,0.069
44.7,2.874e+01,6.469e+04,3.781e+03,6.850e+04,0.048
46.2,4.851e+01,5.469e+04,3.938e+03,5.868e+04,0.031
47.7,1.886e+02,4.453e+04,4.763e+03,4.949e+04,0.021
49.1,4.303e+02,3.600e+04,4.794e+03,4.122e+04,0.021
50.6,7.977e+02,4.484e+04,4.830e+03,5.047e+04,0.027
52.1,1.112e+03,3.786e+04,2.894e+03,4.186e+04,0.034
53.6,1.030e+03,2.473e+04,1.652e+03,2.741e+04,0.038
