--- window K1_SCREWS 09:08-09:10
09:08:11 18.000 23.000 -0.260344
09:08:25 82.750 23.000 -0.279000
09:08:30 147.500 23.000 -0.252372
09:08:36 212.250 23.000 -0.244906
09:08:42 277.000 23.000 -0.239500
09:08:48 277.000 85.750 -0.091906
09:08:54 212.250 85.750 -0.107000
09:08:59 147.500 85.750 -0.095844
09:09:05 82.750 85.750 -0.119440
09:09:10 18.000 85.750 -0.126551
09:09:17 18.000 148.500 -0.076750
09:09:23 82.750 148.500 -0.063210
09:09:28 147.500 148.500 0.033271
09:09:34 212.250 148.500 0.022043
09:09:39 277.000 148.500 -0.051656
09:09:46 277.000 211.250 -0.042315
09:09:52 212.250 211.250 0.009125
09:09:57 147.500 211.250 0.033000
09:10:03 82.750 211.250 0.008679
09:10:08 18.000 211.250 -0.006906
09:10:15 18.000 274.000 -0.093313
09:10:21 82.750 274.000 -0.070114
09:10:26 147.500 274.000 -0.076375
09:10:32 212.250 274.000 -0.098687
09:10:45 277.000 274.000 -0.109906
--- window K1_SUB_SW 09:35-09:39
09:35:51 5.000 5.000 -0.274937
09:35:56 34.000 5.000 -0.275625
09:36:02 63.000 5.000 -0.303750
09:36:07 92.000 5.000 -0.330938
09:36:13 121.000 5.000 -0.320219
09:36:18 150.000 5.000 -0.281312
09:36:25 150.000 34.000 -0.219375
09:36:30 121.000 34.000 -0.236344
09:36:35 92.000 34.000 -0.266196
09:36:41 63.000 34.000 -0.232844
09:36:46 34.000 34.000 -0.254812
09:36:51 5.000 34.000 -0.194906
09:36:58 5.000 63.000 -0.149188
09:37:03 34.000 63.000 -0.195094
09:37:09 63.000 63.000 -0.185938
09:37:14 92.000 63.000 -0.203969
09:37:25 121.000 63.000 -0.160500
09:37:30 150.000 63.000 -0.130719
09:37:37 150.000 92.000 -0.069278
09:37:42 121.000 92.000 -0.060062
09:37:48 92.000 92.000 -0.125563
09:37:53 63.000 92.000 -0.120372
09:37:58 34.000 92.000 -0.124509
09:38:04 5.000 92.000 -0.107892
09:38:10 5.000 121.000 -0.071156
09:38:16 34.000 121.000 -0.080813
09:38:21 63.000 121.000 -0.084844
09:38:26 92.000 121.000 -0.024173
09:38:32 121.000 121.000 -0.042423
09:38:37 150.000 121.000 -0.016375
09:38:43 150.000 150.000 -0.008750
09:38:49 121.000 150.000 -0.027773
09:38:54 92.000 150.000 0.002188
09:38:59 63.000 150.000 -0.067872
09:39:05 34.000 150.000 -0.077500
09:39:18 5.000 150.000 0.155023
