freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.837e+01,4.549e+02,5.003e+01,5.333e+02
1.5,6.551e+01,5.124e+02,1.047e+02,6.826e+02
3.0,5.925e+01,3.724e+02,1.033e+02,5.349e+02
4.4,1.573e+02,4.931e+02,1.072e+02,7.576e+02
5.9,4.999e+02,9.422e+02,1.027e+02,1.545e+03
7.4,7.444e+02,1.432e+03,1.058e+02,2.282e+03
8.9,9.879e+02,1.970e+03,1.082e+02,3.066e+03
10.3,1.107e+03,2.825e+03,1.127e+02,4.044e+03
11.8,1.167e+03,4.163e+03,1.342e+02,5.464e+03
13.3,1.926e+03,3.838e+03,1.667e+02,5.931e+03
14.8,2.976e+03,3.579e+03,1.448e+02,6.700e+03
16.2,3.772e+03,4.628e+03,1.433e+02,8.543e+03
17.7,2.670e+03,5.154e+03,1.163e+02,7.940e+03
19.2,1.151e+03,6.002e+03,1.221e+02,7.275e+03
20.7,8.629e+02,8.231e+03,1.204e+02,9.214e+03
22.1,8.187e+02,1.031e+04,1.376e+02,1.127e+04
23.6,7.811e+02,1.341e+04,1.588e+02,1.435e+04
25.1,6.839e+02,1.642e+04,1.372e+02,1.724e+04
26.6,7.282e+02,2.028e+04,1.317e+02,2.114e+04
28.1,9.065e+02,2.514e+04,1.523e+02,2.620e+04
29.5,1.123e+03,3.054e+04,1.780e+02,3.184e+04
31.0,1.203e+03,3.894e+04,1.782e+02,4.032e+04
32.5,1.314e+03,5.032e+04,2.304e+02,5.187e+04
34.0,1.404e+03,6.832e+04,3.244e+02,7.005e+04
35.4,1.611e+03,9.080e+04,4.689e+02,9.288e+04
36.9,1.992e+03,1.131e+05,7.066e+02,1.158e+05
38.4,2.074e+03,1.443e+05,8.437e+02,1.472e+05
39.9,2.693e+03,2.016e+05,1.561e+03,2.058e+05
41.3,3.217e+03,3.750e+05,6.559e+03,3.848e+05
42.8,5.210e+03,1.053e+06,3.955e+04,1.097e+06
44.3,8.689e+03,1.674e+06,1.498e+05,1.832e+06
45.8,1.017e+04,1.349e+06,1.869e+05,1.546e+06
47.2,1.504e+04,1.046e+06,1.201e+05,1.181e+06
