freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.905e+01,4.285e+02,4.367e+01,5.013e+02
1.5,8.649e+01,4.234e+02,1.479e+02,6.578e+02
3.0,8.917e+01,2.378e+02,1.814e+02,5.083e+02
4.4,1.816e+02,3.826e+02,1.522e+02,7.163e+02
5.9,5.176e+02,8.373e+02,1.242e+02,1.479e+03
7.4,8.112e+02,1.285e+03,1.140e+02,2.210e+03
8.9,1.057e+03,1.821e+03,1.390e+02,3.017e+03
10.3,1.339e+03,2.765e+03,1.493e+02,4.254e+03
11.8,1.771e+03,4.113e+03,1.520e+02,6.036e+03
13.3,1.493e+03,3.275e+03,1.691e+02,4.936e+03
14.8,1.252e+03,2.762e+03,1.673e+02,4.181e+03
16.2,1.442e+03,4.531e+03,1.646e+02,6.138e+03
17.7,1.140e+03,5.609e+03,1.427e+02,6.892e+03
19.2,1.276e+03,6.673e+03,1.463e+02,8.095e+03
20.7,1.312e+03,8.404e+03,1.521e+02,9.868e+03
22.1,1.218e+03,1.041e+04,1.588e+02,1.178e+04
23.6,1.066e+03,1.314e+04,1.472e+02,1.435e+04
25.1,1.182e+03,1.606e+04,1.919e+02,1.744e+04
26.6,1.402e+03,1.996e+04,2.165e+02,2.158e+04
28.1,1.477e+03,2.471e+04,2.505e+02,2.643e+04
29.5,1.647e+03,3.155e+04,2.880e+02,3.348e+04
31.0,1.751e+03,4.008e+04,3.605e+02,4.219e+04
32.5,1.656e+03,5.120e+04,4.440e+02,5.330e+04
34.0,1.685e+03,6.764e+04,6.466e+02,6.997e+04
35.4,2.365e+03,9.345e+04,1.022e+03,9.684e+04
36.9,2.575e+03,1.212e+05,1.510e+03,1.253e+05
38.4,2.695e+03,1.453e+05,1.758e+03,1.497e+05
39.9,3.023e+03,2.058e+05,3.433e+03,2.122e+05
41.3,3.455e+03,4.282e+05,1.064e+04,4.423e+05
42.8,4.393e+03,1.088e+06,4.283e+04,1.136e+06
44.3,5.499e+03,1.481e+06,1.307e+05,1.617e+06
45.8,1.017e+04,1.402e+06,1.989e+05,1.611e+06
47.2,1.917e+04,1.203e+06,1.291e+05,1.351e+06
48.7,2.896e+04,1.189e+06,1.049e+05,1.323e+06
50.2,4.614e+04,1.369e+06,1.148e+05,1.530e+06
51.7,5.681e+04,1.149e+06,8.178e+04,1.288e+06
53.2,4.361e+04,7.371e+05,4.616e+04,8.269e+05
54.6,2.990e+04,5.806e+05,4.025e+04,6.508e+05
56.1,1.948e+04,5.407e+05,3.165e+04,5.918e+05
57.6,1.023e+04,3.876e+05,1.347e+04,4.113e+05
59.1,6.435e+03,2.940e+05,3.347e+03,3.038e+05
60.5,3.630e+03,2.466e+05,1.032e+03,2.512e+05
62.0,2.291e+03,1.978e+05,5.256e+02,2.007e+05
63.5,2.556e+03,1.516e+05,3.731e+02,1.545e+05
65.0,2.242e+03,1.135e+05,4.974e+02,1.162e+05
66.4,1.081e+03,9.248e+04,1.174e+03,9.474e+04
67.9,5.112e+02,7.768e+04,2.059e+03,8.025e+04
69.4,3.870e+02,9.543e+04,3.542e+03,9.936e+04
70.9,3.319e+02,9.278e+04,2.984e+03,9.609e+04
72.3,3.705e+02,8.744e+04,2.258e+03,9.007e+04
73.8,3.834e+02,8.643e+04,1.918e+03,8.873e+04
75.3,3.820e+02,7.919e+04,1.617e+03,8.119e+04
76.8,3.714e+02,6.743e+04,1.526e+03,6.933e+04
78.3,3.884e+02,6.767e+04,1.630e+03,6.969e+04
79.7,3.982e+02,6.673e+04,1.656e+03,6.878e+04
81.2,5.421e+02,5.496e+04,1.471e+03,5.697e+04
82.7,7.689e+02,5.114e+04,1.395e+03,5.330e+04
84.2,1.087e+03,4.867e+04,1.425e+03,5.118e+04
85.6,1.265e+03,4.889e+04,1.836e+03,5.199e+04
87.1,1.401e+03,4.500e+04,2.484e+03,4.888e+04
88.6,1.354e+03,4.211e+04,2.458e+03,4.593e+04
90.1,1.114e+03,3.888e+04,1.794e+03,4.178e+04
91.5,8.821e+02,3.304e+04,1.294e+03,3.521e+04
93.0,7.076e+02,4.119e+04,9.944e+02,4.289e+04
94.5,7.122e+02,3.339e+04,7.616e+02,3.486e+04
96.0,8.264e+02,3.657e+04,8.098e+02,3.820e+04
97.4,8.465e+02,4.027e+04,7.692e+02,4.189e+04
98.9,1.012e+03,3.842e+04,7.963e+02,4.023e+04
100.4,9.752e+02,3.312e+04,7.761e+02,3.487e+04
101.9,1.053e+03,3.597e+04,9.672e+02,3.799e+04
103.4,1.045e+03,3.326e+04,1.060e+03,3.536e+04
104.8,1.111e+03,3.286e+04,1.132e+03,3.510e+04
106.3,1.227e+03,3.451e+04,1.117e+03,3.686e+04
107.8,1.072e+03,2.848e+04,9.312e+02,3.048e+04
109.3,1.098e+03,3.014e+04,9.477e+02,3.219e+04
110.7,1.255e+03,3.251e+04,1.014e+03,3.477e+04
112.2,1.289e+03,2.997e+04,1.110e+03,3.237e+04
113.7,1.481e+03,3.054e+04,1.397e+03,3.342e+04
115.2,1.515e+03,2.732e+04,1.472e+03,3.031e+04
116.6,2.086e+03,3.207e+04,1.925e+03,3.608e+04
118.1,2.556e+03,3.270e+04,2.026e+03,3.729e+04
119.6,2.126e+03,2.080e+04,1.458e+03,2.438e+04
121.1,2.829e+03,2.114e+04,1.732e+03,2.570e+04
122.5,3.168e+03,2.173e+04,1.733e+03,2.663e+04
124.0,3.040e+03,1.923e+04,1.387e+03,2.365e+04
125.5,3.583e+03,1.996e+04,1.221e+03,2.477e+04
127.0,4.501e+03,2.064e+04,1.119e+03,2.626e+04
128.5,5.964e+03,2.322e+04,1.115e+03,3.030e+04
129.9,6.948e+03,2.303e+04,1.140e+03,3.111e+04
131.4,7.259e+03,2.320e+04,1.197e+03,3.165e+04
132.9,3.886e+03,1.185e+04,9.108e+02,1.665e+04
134.4,8.546e+02,1.830e+03,4.052e+02,3.090e+03
135.8,4.699e+02,9.919e+02,2.736e+02,1.735e+03
137.3,3.783e+02,1.325e+03,2.079e+02,1.912e+03
138.8,3.570e+02,1.307e+03,2.518e+02,1.916e+03
140.3,4.170e+02,1.037e+03,3.263e+02,1.780e+03
141.7,4.037e+02,8.764e+02,3.359e+02,1.616e+03
143.2,4.013e+02,1.163e+03,3.570e+02,1.921e+03
144.7,3.579e+02,1.077e+03,2.771e+02,1.712e+03
146.2,3.526e+02,1.116e+03,2.338e+02,1.703e+03
147.6,3.096e+02,1.347e+03,2.073e+02,1.864e+03
149.1,3.012e+02,1.401e+03,2.715e+02,1.973e+03
150.6,3.014e+02,1.559e+03,3.110e+02,2.171e+03
152.1,2.945e+02,1.386e+03,4.373e+02,2.118e+03
153.6,3.521e+02,1.390e+03,6.862e+02,2.428e+03
155.0,3.919e+02,1.538e+03,9.933e+02,2.923e+03
156.5,4.150e+02,1.708e+03,1.198e+03,3.321e+03
158.0,3.996e+02,1.827e+03,1.240e+03,3.466e+03
159.5,5.061e+02,2.157e+03,1.797e+03,4.460e+03
160.9,5.454e+02,2.595e+03,1.969e+03,5.109e+03
162.4,4.831e+02,2.819e+03,1.866e+03,5.168e+03
163.9,4.938e+02,4.011e+03,2.910e+03,7.415e+03
165.4,5.041e+02,2.389e+03,2.639e+03,5.533e+03
166.8,6.561e+02,2.673e+03,4.970e+03,8.298e+03
168.3,5.391e+02,2.424e+03,5.741e+03,8.704e+03
169.8,6.235e+02,2.457e+03,7.395e+03,1.047e+04
171.3,5.614e+02,2.230e+03,8.018e+03,1.081e+04
172.7,4.671e+02,2.099e+03,7.368e+03,9.935e+03
174.2,5.306e+02,1.813e+03,6.893e+03,9.236e+03
175.7,5.806e+02,2.384e+03,6.298e+03,9.263e+03
177.2,4.177e+02,2.161e+03,3.454e+03,6.034e+03
178.7,5.621e+02,3.289e+03,3.213e+03,7.063e+03
180.1,5.030e+02,3.858e+03,2.753e+03,7.114e+03
181.6,4.536e+02,5.395e+03,2.821e+03,8.669e+03
183.1,4.397e+02,5.475e+03,2.359e+03,8.273e+03
184.6,4.325e+02,6.058e+03,2.101e+03,8.591e+03
186.0,5.184e+02,8.777e+03,2.547e+03,1.184e+04
187.5,4.855e+02,1.051e+04,2.477e+03,1.347e+04
189.0,4.133e+02,1.398e+04,2.602e+03,1.699e+04
190.5,4.069e+02,1.964e+04,2.964e+03,2.301e+04
