freq,psd_x,psd_y,psd_z,psd_xyz,ei(42.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.988
2.9,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.970
4.4,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.947
5.8,1.664e+02,6.007e+00,3.338e+00,1.758e+02,0.918
7.3,2.309e+02,4.475e+00,2.669e+00,2.381e+02,0.885
8.8,2.740e+02,3.690e+00,2.256e+00,2.800e+02,0.848
10.2,3.021e+02,3.463e+00,2.041e+00,3.076e+02,0.807
11.7,3.519e+02,6.342e+00,1.608e+00,3.599e+02,0.763
13.1,3.789e+02,9.169e+00,1.482e+00,3.896e+02,0.715
14.6,4.786e+02,5.119e+00,1.691e+00,4.854e+02,0.665
16.1,6.075e+02,5.552e+00,1.743e+00,6.148e+02,0.614
17.5,4.647e+02,6.355e+00,1.513e+00,4.726e+02,0.561
19.0,3.376e+02,4.609e+00,1.150e+00,3.434e+02,0.508
20.4,3.700e+02,3.547e+00,1.138e+00,3.747e+02,0.454
21.9,3.581e+02,3.027e+00,1.048e+00,3.622e+02,0.401
23.4,3.179e+02,3.428e+00,9.896e-01,3.224e+02,0.350
24.8,2.990e+02,3.151e+00,1.076e+00,3.032e+02,0.299
26.3,3.066e+02,3.400e+00,9.381e-01,3.109e+02,0.251
27.7,2.766e+02,3.024e+00,8.515e-01,2.805e+02,0.206
29.2,2.693e+02,3.840e+00,1.087e+00,2.742e+02,0.164
30.7,2.336e+02,4.538e+00,1.156e+00,2.393e+02,0.125
32.1,2.048e+02,5.069e+00,1.759e+00,2.116e+02,0.090
33.6,1.647e+02,8.182e+00,2.737e+00,1.756e+02,0.060
35.0,1.732e+02,1.162e+01,2.682e+00,1.875e+02,0.036
36.5,1.805e+02,1.319e+01,2.628e+00,1.963e+02,0.021
38.0,1.869e+02,1.257e+01,3.002e+00,2.025e+02,0.022
39.4,1.924e+02,1.885e+01,4.156e+00,2.154e+02,0.031
40.9,2.229e+02,4.371e+01,8.233e+00,2.748e+02,0.037
42.3,2.779e+02,7.166e+01,1.351e+01,3.631e+02,0.040
43.8,3.767e+02,7.698e+01,1.429e+01,4.679e+02,0.038
45.2,6.115e+02,7.897e+01,1.607e+01,7.065e+02,0.032
46.7,9.479e+02,5.837e+01,1.585e+01,1.022e+03,0.029
48.2,8.910e+02,6.740e+01,1.298e+01,9.713e+02,0.028
49.6,5.692e+02,1.351e+02,1.036e+01,7.146e+02,0.032
51.1,3.657e+02,2.440e+02,1.547e+01,6.252e+02,0.042
52.5,2.229e+02,2.447e+02,1.608e+01,4.837e+02,0.060
54.0,1.051e+02,1.403e+02,1.208e+01,2.575e+02,0.088
55.5,5.845e+01,9.256e+01,1.215e+01,1.632e+02,0.118
56.9,5.387e+01,5.707e+01,1.012e+01,1.211e+02,0.151
58.4,5.683e+01,3.250e+01,9.686e+00,9.902e+01,0.185
59.8,6.935e+01,2.304e+01,6.524e+00,9.892e+01,0.220
61.3,7.790e+01,1.637e+01,4.981e+00,9.925e+01,0.257
62.8,7.110e+01,1.242e+01,3.163e+00,8.669e+01,0.293
64.2,6.970e+01,1.268e+01,2.705e+00,8.508e+01,0.329
65.7,4.500e+01,1.642e+01,2.483e+00,6.391e+01,0.365
67.1,1.993e+01,2.169e+01,2.109e+00,4.373e+01,0.399
68.6,1.259e+01,2.047e+01,1.854e+00,3.491e+01,0.432
70.1,8.327e+00,2.129e+01,2.310e+00,3.193e+01,0.463
71.5,5.411e+00,2.330e+01,3.255e+00,3.196e+01,0.492
73.0,3.220e+00,1.896e+01,3.698e+00,2.588e+01,0.519
74.4,3.344e+00,1.500e+01,4.104e+00,2.245e+01,0.543
75.9,4.522e+00,1.003e+01,5.076e+00,1.963e+01,0.563
77.4,5.754e+00,5.373e+00,6.116e+00,1.724e+01,0.580
78.8,7.718e+00,3.928e+00,7.897e+00,1.954e+01,0.594
80.3,8.849e+00,3.091e+00,8.017e+00,1.996e+01,0.604
81.7,1.270e+01,2.665e+00,9.813e+00,2.518e+01,0.611
83.2,1.556e+01,1.993e+00,1.115e+01,2.870e+01,0.614
84.7,1.656e+01,2.076e+00,1.264e+01,3.128e+01,0.613
86.1,2.297e+01,2.703e+00,2.024e+01,4.591e+01,0.609
87.6,2.433e+01,3.278e+00,2.288e+01,5.049e+01,0.601
89.0,2.352e+01,4.182e+00,2.038e+01,4.808e+01,0.589
90.5,1.848e+01,3.279e+00,1.278e+01,3.455e+01,0.574
92.0,1.557e+01,1.988e+00,1.040e+01,2.796e+01,0.557
93.4,1.237e+01,1.565e+00,8.562e+00,2.249e+01,0.536
94.9,1.066e+01,2.122e+00,5.489e+00,1.827e+01,0.513
96.3,1.139e+01,3.367e+00,5.120e+00,1.987e+01,0.487
97.8,1.216e+01,4.492e+00,4.999e+00,2.165e+01,0.460
99.3,1.320e+01,6.489e+00,7.551e+00,2.724e+01,0.430
100.7,1.490e+01,6.817e+00,8.318e+00,3.004e+01,0.400
102.2,1.562e+01,5.928e+00,7.310e+00,2.885e+01,0.369
103.6,1.573e+01,7.211e+00,7.878e+00,3.082e+01,0.337
105.1,1.596e+01,7.301e+00,7.757e+00,3.102e+01,0.305
106.6,1.619e+01,6.394e+00,7.591e+00,3.018e+01,0.273
108.0,1.532e+01,5.291e+00,7.791e+00,2.840e+01,0.241
109.5,1.459e+01,4.138e+00,7.519e+00,2.625e+01,0.211
110.9,1.401e+01,3.020e+00,7.445e+00,2.447e+01,0.182
112.4,1.095e+01,2.316e+00,7.819e+00,2.109e+01,0.160
113.9,1.263e+01,1.471e+00,8.041e+00,2.214e+01,0.147
115.3,1.164e+01,9.301e-01,9.122e+00,2.169e+01,0.136
116.8,1.176e+01,1.622e+00,1.110e+01,2.448e+01,0.126
118.2,1.405e+01,3.677e+00,1.334e+01,3.107e+01,0.118
119.7,1.460e+01,8.730e+00,1.578e+01,3.912e+01,0.111
121.2,1.567e+01,1.576e+01,1.723e+01,4.866e+01,0.105
122.6,1.741e+01,1.526e+01,1.254e+01,4.521e+01,0.101
124.1,1.934e+01,1.066e+01,6.976e+00,3.697e+01,0.098
125.5,2.089e+01,9.608e+00,5.600e+00,3.610e+01,0.096
127.0,2.044e+01,7.849e+00,3.875e+00,3.217e+01,0.095
128.5,1.346e+01,4.511e+00,1.861e+00,1.983e+01,0.095
129.9,1.181e+01,3.519e+00,1.052e+00,1.638e+01,0.096
131.4,1.309e+01,3.776e+00,1.065e+00,1.793e+01,0.099
132.8,5.206e+00,1.707e+00,3.467e-01,7.259e+00,0.101
134.3,4.189e+00,1.643e+00,2.292e-01,6.061e+00,0.105
135.7,3.947e+00,1.328e+00,2.500e-01,5.525e+00,0.110
137.2,4.793e+00,1.048e+00,2.980e-01,6.139e+00,0.116
138.7,4.276e+00,9.393e-01,3.194e-01,5.535e+00,0.122
140.1,3.314e+00,1.234e+00,3.381e-01,4.886e+00,0.129
141.6,3.315e+00,9.983e-01,3.582e-01,4.671e+00,0.137
143.0,4.460e+00,1.196e+00,4.401e-01,6.096e+00,0.146
144.5,4.229e+00,1.430e+00,3.679e-01,6.027e+00,0.159
146.0,4.327e+00,1.487e+00,3.156e-01,6.130e+00,0.181
147.4,4.252e+00,1.737e+00,2.834e-01,6.273e+00,0.203
148.9,3.246e+00,1.470e+00,2.958e-01,5.012e+00,0.226
150.3,4.070e+00,1.430e+00,3.721e-01,5.873e+00,0.249
151.8,4.086e+00,1.652e+00,5.310e-01,6.269e+00,0.271
153.3,4.251e+00,2.240e+00,8.668e-01,7.358e+00,0.292
154.7,4.557e+00,2.762e+00,1.407e+00,8.726e+00,0.312
156.2,4.630e+00,3.747e+00,1.858e+00,1.023e+01,0.332
157.6,4.038e+00,4.378e+00,1.864e+00,1.028e+01,0.349
159.1,4.515e+00,4.588e+00,1.865e+00,1.097e+01,0.365
160.6,4.412e+00,4.710e+00,1.845e+00,1.097e+01,0.380
162.0,4.037e+00,5.171e+00,2.167e+00,1.137e+01,0.392
163.5,3.979e+00,5.288e+00,2.583e+00,1.185e+01,0.402
164.9,3.024e+00,3.112e+00,2.225e+00,8.361e+00,0.410
166.4,4.018e+00,2.122e+00,2.093e+00,8.232e+00,0.416
167.9,4.090e+00,1.545e+00,1.796e+00,7.431e+00,0.419
169.3,4.044e+00,1.299e+00,2.959e+00,8.302e+00,0.421
170.8,3.764e+00,2.170e+00,6.141e+00,1.208e+01,0.419
172.2,3.217e+00,3.002e+00,8.679e+00,1.490e+01,0.416
173.7,2.554e+00,2.637e+00,8.895e+00,1.409e+01,0.410
175.2,3.154e+00,3.174e+00,8.695e+00,1.502e+01,0.403
