freq,psd_x,psd_y,psd_z,psd_xyz,ei(55.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.991
3.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.979
4.4,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.963
5.9,2.254e+01,2.376e+02,4.075e+01,3.009e+02,0.944
7.4,1.889e+01,3.176e+02,3.021e+01,3.667e+02,0.922
8.9,2.041e+01,3.693e+02,2.447e+01,4.141e+02,0.897
10.3,1.857e+01,4.736e+02,1.729e+01,5.094e+02,0.870
11.8,2.127e+01,6.099e+02,1.850e+01,6.497e+02,0.840
13.3,2.872e+01,4.774e+02,1.377e+01,5.199e+02,0.808
14.8,2.864e+01,3.848e+02,1.299e+01,4.264e+02,0.774
16.2,3.772e+01,5.355e+02,1.431e+01,5.875e+02,0.738
17.7,3.579e+01,5.596e+02,1.382e+01,6.093e+02,0.700
19.2,1.967e+01,6.081e+02,9.467e+00,6.372e+02,0.661
20.7,1.195e+01,7.425e+02,8.093e+00,7.625e+02,0.621
22.1,1.012e+01,8.633e+02,8.622e+00,8.820e+02,0.580
23.6,1.162e+01,1.000e+03,8.861e+00,1.021e+03,0.539
25.1,1.314e+01,1.171e+03,8.738e+00,1.193e+03,0.498
26.6,1.129e+01,1.386e+03,9.841e+00,1.408e+03,0.456
28.1,8.614e+00,1.512e+03,1.067e+01,1.532e+03,0.415
29.5,7.269e+00,1.880e+03,1.093e+01,1.898e+03,0.374
31.0,6.951e+00,2.323e+03,1.220e+01,2.342e+03,0.335
32.5,7.846e+00,2.895e+03,1.626e+01,2.919e+03,0.296
34.0,6.715e+00,3.192e+03,2.055e+01,3.220e+03,0.259
35.4,9.004e+00,4.591e+03,3.269e+01,4.632e+03,0.223
36.9,9.994e+00,5.786e+03,5.030e+01,5.846e+03,0.189
38.4,7.907e+00,6.195e+03,5.374e+01,6.256e+03,0.157
39.9,1.079e+01,1.034e+04,1.271e+02,1.048e+04,0.127
41.3,1.381e+01,2.061e+04,3.967e+02,2.102e+04,0.099
42.8,4.807e+01,4.180e+04,1.594e+03,4.344e+04,0.074
44.3,1.926e+02,5.520e+04,3.950e+03,5.934e+04,0.053
45.8,3.003e+02,5.616e+04,4.325e+03,6.078e+04,0.035
47.3,2.627e+02,5.234e+04,4.172e+03,5.677e+04,0.023
48.7,3.244e+02,6.046e+04,4.659e+03,6.545e+04,0.020
50.2,5.855e+02,5.915e+04,4.091e+03,6.383e+04,0.025
51.7,7.832e+02,3.934e+04,2.545e+03,4.266e+04,0.032
53.2,9.486e+02,2.727e+04,1.598e+03,2.982e+04,0.037
